name,latitude,longitude,locatable_type,image,description,address
Battenfeld Scholarship Hall,38.957234,-95.242597,Building,,"This hall housing 48 students was the first men’s residence hall built at the university. It was the gift of Mr. and Mrs. J.R. Battenfeld of Kansas City in memory of their son John Curry Battenfeld, killed in a car accident in December 1939. Designed by Morton Payne and Russell Field of Kansas City, the three-story Georgian brick building opened in September 1940.

It was built on part of the former Brynwood Manor estate on 14th Street, acquired by Olin Templin of the Endowment Association in 1939. The manor house, north of Battenfeld, was refurbished and opened as Templin Hall, a scholarship residence for 38 men, in fall 1940. It was demolished in 1959, and Sprague Apartments were built on the site.","1425 Alumni Pl, Lawrence, KS 66044"
Bioscience and Technology Business Center,38.948451,-95.266959,Building,,"Gould Evans Associates of Lawrence designed this two-story, 20,000-square-foot building northwest of the School of Pharmacy on Becker Drive in west campus, and construction began in fall 2009. The $7.25-million building houses laboratories and office space for start-up companies, emerging technology businesses, and collaborations involving KU researchers and large technology firms.

The Lawrence-Douglas County Biosciences Authority owns the building, which was dedicated Oct. 8, 2010. It was funded by a partnership of the Kansas Bioscience Authority, the city of Lawrence, Douglas County, KU, the Lawrence Chamber of Commerce and KU Endowment. The Lawrence Regional Technology Center manages the facility.

The center reached capacity in 2012 with its ninth tenant company. Ground was broken in June 2013 for an expansion to the north that will add two stories and 30,000 square feet of office and lab space to accommodate 18 to 24 companies.","2029 Becker Drive, Lawrence, KS 66047"
Blake Hall,38.956183,-95.243422,Building,,"The first hall on this site was a physics building designed by State Architect Seymour Davis in imitation of a French chateau admired by physics professor Lucien I. Blake. A dapper man with a vivacious personality, Blake was also a noted scientist in electricity, thermodynamics and X-rays. 

The building housed classrooms, labs and auditoria when it was completed in 1895 south of Old Fraser Hall; it was superseded in 1954 when physics and other science departments moved to Malott Hall. It was empty for several years before it was determined that it could not be economically renovated and was razed in 1963. On its footprint was erected a cut- and rough-stone, six-story building with twice the usable square footage and the red roof of other central campus buildings. The name was retained but political science, sociology, social work and human relations were housed there. Blake Hall now houses the departments of political science and linguistics; the Institute for Policy and Social Research; and classrooms and seminar rooms.","1541 Lilac Ln, Lawrence, KS 66044"
Kansas Rowing Boathouse,38.983252,-95.241395,Building,,"Opened at ceremonies Feb. 28, 2009, that also acknowledged the 40th anniversary of women’s athletics at KU, the 16,000-square-foot boathouse was designed by Peterson Architects of Cambridge, Mass., and Treanor Architects of Lawrence.

It is sited near the shore of the Kansas River north of the Massachusetts Street bridge and has four boat bays, locker rooms, showers, a kitchen, laundry facilities, a study area, and a separate medical training facility for the men’s and women’s rowing teams. The $6-million facility was funded in part by a student tuition fee. 

In Burcham Park.","220 Indiana St, Lawrence, KS 66044"
Booth Family Hall of Athletics,38.954405,-95.252198,Building,,"In June 2005, construction began on the hall of athletics on the east face of the fieldhouse. The two-story, 26,000-square-foot facility was designed by HOK Sport+Venue+Event of Kansas City, Mo., and opened Jan. 21, 2006. It houses a hall of fame for Kansas athletes and sports, with a special emphasis on the contributions of James Naismith, inventor of basketball, KU's first basketball coach and a longtime faculty member; and Forrest C. \Phog\ Allen, KU's great coach, who played for Naismith. The hall also includes the ticket office; www.kustore.com; and donor, alumni and recruiting meeting rooms.

It is named for the late Gilbert and Betty Booth, staunch KU supporters who lived a few blocks from the fieldhouse. More than $4 million of the $8 million cost was donated by their children and grandchildren: David (1968 bachelor's in economics, 1969 master's in business) and Suzanne Deal Booth of Los Angeles and their children, Erin and Chandler; Mark and Lauren Bacich Booth of London and their children, Miles, Coco and Cyrus; and Mark and Jane Booth Berkley of Tescott, Kan., and their children and spouses, Stuart and Tina Berkley, Elizabeth and Pete Reininga, and Melissa and Marko Ungashick.

Construction began in fall 2014 on the DeBruce Center, which will house Naismith's original \Rules of Basket Ball\ as well as a student center and meeting rooms. The three-story, $18 million center adjoining the northeast corner of the Fieldhouse and the Booth Hall will be named for Paul and Katherine DeBruce, 1973 alumni who are primary donors.

Naismith wrote the rules of the game he invented in December 1891. The sheets of paper, typewritten and annotated by Naismith, were purchased for $4.3 million at auction in December 2010 and donated to KU by David and Suzanne Deal Booth.","Allen Fieldhouse, Lawrence, KS 66045"
Bridwell Botany Research Laboratory,38.947681,-95.262969,Building,,"Francis H. Snow, one of the first three professors at the university, held the natural history chair and founded KU’s botanical collection, which was housed in old and new Snow halls. Ronald L. McGregor, herbarium director 1954-88, oversaw a huge expansion in specimens, and to accommodate it the collection was moved to this 9,000-square-foot redbrick building in west campus, designed by George Beal, in 1966. The research laboratory and herbarium are affiliated with the Natural History Museum and Biodiversity Institute.

The building is named for Joseph Sterling Bridwell (1885-1966), oil operator and cattle breeder from Wichita Falls, Texas, who funded KU research into developing better strains of grasses and legumes for cattle. In 1985, the Bridwell Foundation endowed the construction of the east wing laboratory, designed by Kenneth O. van Achen. The herbarium was named in McGregor’s honor after his retirement. Bridwell also houses research space, a library, a slide collection and more than 350,000 pressed specimens.","2031 Constant Ave, Lawrence, KS 66047"
Broadcasting Hall KPR,38.963363,-95.250142,Building,,"Completed and opened in September 2003, the building houses Kansas Public Radio, a consortium of three northeast Kansas public-radio stations of which KANU 91.5-FM is the flagship. It has five production studios, a music library and a performance hall seating 50. It was funded by donations from Hortense Oldfather, the Sunderland Foundation and the Endowment Association; von Achen Chartered Architects designed the new structure, which adjoins the Baehr Audio-Reader Center.

It supersedes “the Mud Hut,” a small structure near the Art and Design Building that had been KPR’s home since going on-air in September 1952.","1120 E 11th St, Lawrence, KS 66046"
Budig Hall/Hoch Auditoria,38.957902,-95.249221,Building,,"Named for Gene A. Budig, chancellor 1981-94, and dedicated Oct. 31, 1997, it replaced the building that was designed in the Collegiate Gothic style by State Architect Charles D. Cuthbert and that opened as University Auditorium in 1927; it was named in 1938 for former Kansas Gov. Edward W. Hoch (1905-09).

That performing, convocation and lecture hall had a capacity of 5,500 and was the school’s basketball court from 1927 until Allen Fieldhouse opened in 1955. Lightning sparked a fire that destroyed Hoch June 15, 1991, although the limestone facade, stair towers, north foyer and some fittings were saved and integrated into the new building. It has three multimedia lecture halls, or auditoria, one seating 1,000 and two seating 500; the central one is named for noted chemistry professor Clark Bricker (1963-83). The building also has four large classrooms, testing commons and a 125-station computer lab. It houses Instructional Development and Support, a Web service, and the Center for Teaching Excellence.","1455 Jayhawk Blvd, Lawrence, KS 66045"
Burge Union,38.955461,-95.255079,Building,,"As the campus expanded to the south and west, the need for a satellite union became apparent. Students approved plans for one in 1968, but only in 1976 were revenue bonds issued that, combined with student fees, paid for a $2.8 million building west of Allen Fieldhouse and south of Green Hall. Architects Raymond and Phillip Coolidge of Topeka designed the 48,450-square-foot brick and reinforced concrete building, which opened Aug. 21, 1979, and was dedicated April 27, 1980. On his retirement, the satellite union was named in honor of Frank Burge, director of the unions 1952-83.

The lower level has the University Career Center and Workshop. A KU Bookstore, a convenience shop and the Crimson Café are on the second floor. The third level has meeting and conference rooms and the offices of Legal Services for Students. Chandler Courtyard on the south side of the lower level was the gift of Anderson Chandler, a 1948 alumnus and Topeka banker.","1601 Irving Hill Road, Lawrence, KS 66045"
Carruth-O’Leary Hall,38.961182,-95.250818,Building,,"This building opened in 1955 as a men's residence hall and was converted in 1965 to offices and classrooms for academic departments such as English, classics and Romance languages. Since 1986 it has housed the Department of Human Resources and Equal Opportunity, the comptroller’s office, Institutional Research and Planning and Design and Construction Management.

It is named for two longtime faculty members: William H. Carruth (1859-1924), who earned KU degrees in 1880 and 1883 and was a professor of German, a poet and a suffragist; and Raphael Dorman O’Leary (1866-1936), an 1893 alumnus and English professor. 

The first Carruth Hall had been the original chancellor’s residence at 14th and Louisiana streets; it was refurbished in 1939 as a scholarship hall for men, later used by women. It was demolished in 1953, and Douthart Scholarship Hall was built on the site.","1246 W Campus Rd, Lawrence, KS 66044"
Center for Design Research,38.956685,-95.270902,Building,,"This new facility for collaborative research in sustainable energy, which adjoins Chamney House on the south, was dedicated July 16, 2011. An 1,820-square-foot, one-story stone building, it was funded by donations to and designed and built by about 20 architecture students in Studio 804, a program of the School of Architecture, Design and Planning.

The building, which meets LEED platinum-certified standards, features a wind turbine, a smart grid meter, an energy-conserving plant-covered roof, solar panels, a rain garden, and an electric-vehicle charging system. Inside, it features a \green wall\ planted with ferns under the three skylights in the south-facing main conference room.","2544 Westbrooke Circle, Lawrence, KS 66049"
Chamney House,38.956817,-95.271223,Building,,"In September 1963, KU Endowment acquired this 130-acre property, house, barn, and outbuildings from the Chamney family, leading Lawrence dairy farmers since 1912.

The School of Fine Arts used the house in the early 1970s for interior design classes and craft studios. It also housed the Center for Design Research until summer 2011, when a new, energy-efficient structure south of the house opened.

The barn, now a modelshop/prototype lab, was a glassblowing studio. Recent renovations to the house and barn, funded by KU Endowment, included new roofs, masonry repairs, and new thermal windows.","2545 W. Bob Billings Parkway, Lawrence, KS 66045"
Chancellor’s residence \The Outlook\,38.955921,-95.24239,Building,,"In 1912, Lawrence banker Jabez B. Watkins (1845-1921) built the three-story, 26-room house designed by W.J. Mitchell for himself and his wife, Elizabeth Miller Watkins. She lived in the home until her death in 1939, willing it to the university as a chancellor’s residence. It replaced the original brick chancellor’s residence at 1345 Louisiana St. 

Chancellor Deane W. Malott and his family were the first to live in the home. The first floor is used for receptions and other public functions; the upper stories are family living quarters.","1532 Lilac Lane, Lawrence, KS 66045"
Continuing Education Building,38.955819,-95.282829,Building,,St. Andrews Office Facility,"1515 St. Andrews Drive, Lawrence, KS 66047"
Corbin Residence Hall,38.964567,-95.241092,Building,,"Opened in 1923 as the first residence hall at KU, the women’s hall was named — despite her protests — in honor of Alberta Corbin, an 1893 alumna and professor of German who was a suffragist leader, first university “adviser of women” and an advocate of women’s housing. The original, south building, designed by State Architect Ray Gamble in the English colonial style, was on the site of the university’s first building, North College (1866). In 1951 North Corbin, housing 180 more women, opened; in 1958 the buildings were connected, and both were renovated in the 1990s. The student housing department is based in Corbin.

290 women","420 W. 11th St, Lawrence, KS 66045"
Danforth Chapel,38.957821,-95.243219,Building,,"William H. Danforth, chair of Ralston Purina Co., provided the largest single donation for the chapel through his foundation; the rest of the funding and most of the furnishings were donated by faculty, students, alumni and Lawrence residents. Edward W. Tanner of Kansas City, KU’s first architectural engineering graduate in 1916 and principal designer for the J.C. Nichols Co. 1919-64, designed the 90-seat Gothic Revival structure. The construction was done in part by German prisoners of war, many of them masons, who were detained in a Lawrence facility. The chapel, dedicated April 2, 1946, has evolved from a Christian house of worship to an interfaith, nondenominational facility popular for weddings.

An $850,000 addition to the southeast side and other renovations were completed in fall 2007. The 600-square-foot area includes a large dressing room for the bridal party, accessible restrooms and more space for wedding preparations. Renovations include repairs to plaster, woodwork and stonework, beams and drainage; new ceramic tile flooring; and painting. The organ and the stained-glass windows were also refurbished, and the landscaping was renewed. The chapel’s tile roof had been replaced after it was destroyed in a microburst in March 2006.","1405 Jayhawk Blvd, Lawrence, KS 66045"
DeBruce Center,38.954145,-95.252779,Building,,"Construction began in fall 2014 on the center, which will house James Naismith's original \Rules of Basket Ball\ as well as a student center and meeting rooms. The three-story, $18 million center adjoining the northeast corner of the Fieldhouse and the Booth Hall of Athletics will be named for Paul and Katherine DeBruce, 1973 alumni who are primary donors. Completion of the 31,000-square-foot structure, which will be connected to the second-level concourse of the field house, is expected in fall 2015.

Naismith wrote the rules of the game he invented in December 1891. The two sheets of paper, typewritten and annotated by Naismith, were purchased for $4.3 million at auction in December 2010 and donated to KU by David and Suzanne Deal Booth, alumni whose family funded the hall of athletics.","1651 Naismith Drive, Lawrence , KS 66045"
Dennis E. Rieger Scholarship Hall,38.95897,-95.240892,Building,,"This hall, dedicated Sept. 24, 2005, houses 50 women in a mix of traditional rooms and suites in two wings. The common areas include a courtyard, living room, dining area, kitchen and recreational room. The hall was funded through a $3 million gift by Roger and Annette Rieger of Seattle, both 1967 alumni, in memory of Roger's brother Dennis, who earned a bachelor's in political science at KU in 1972 and a master's in business in 1974.

Treanor Architects of Lawrence designed the hall to incorporate characteristics of the Queen Anne style common in the surrounding Oread neighborhood. The building also incorporates grillwork, stair balusters and a lighting fixture salvaged from Old Fraser.","1323 Ohio St, Lawrence, KS 66044"
Dole Human Development Center,38.955642,-95.246773,Building,,"The center was dedicated Aug. 25, 1990, and named in honor of Kansas Sen. Robert J. Dole, an advocate for people with disabilities. Kiene & Bradley Design Group designed the $12 million classroom and clinic space, which houses undergraduate and graduate departments and research and training centers, including the Department of Applied Behavioral Science and affiliates such as the Child and Family Services Clinic, gerontology, early childhood autism, the Edna A. Hill Child Development Center and the Sunnyside Infant-Toddler Program, and the Department of Speech-Language-Hearing: Sciences and Disorders. Also in DHDC are the Schiefelbusch Life Span Institute and affiliates such as the Gerontology Center, the Center on Developmental Disabilities, the Merrill Advanced Studies Center and the Research and Training Center on Independent Living.

The University Daily Kansan newsroom and the radio-TV sequence of the School of Journalism also have offices, classrooms, studios and labs here; the Stan and Madeline Stauffer Multimedia Newsroom was dedicated Oct. 1, 2004.

The Department of Applied Behavioral Science was formerly the Department of Human Development and Family Life; the name was changed in August 2004. The department, established in 1964, was founded on programs affiliated with the home economics department, long chaired by Edna A. Hill, founder in 1943 of the first nursery school at KU. After her 1967 retirement, the child development center was named in her honor.","1000 Sunnyside Ave, Lawrence, KS 66045"
Douthart Scholarship Hall,38.958496,-95.242093,Building,,"This hall houses 48 women in 12 bedroom/study area suites. It opened in 1954 and was largely funded by the gift of Burt Chronister of Kansas City, Kan., in memory of his wife, Ava Douthart Chronister, a 1901 graduate, and her sister Lela Douthart, an 1899 alumna. The architect was Raymond Coolidge.

Douthart was built on the site of the original chancellor’s residence, designed by Kansas City architect Henry van Brunt, who also designed Spooner Library. After “The Outlook” became the chancellor’s residence in 1939, the home became a scholarship hall, first for men and then for women, and was named for longtime languages professor William H. Carruth. In 1953, the building was declared structurally unsound and demolished.","1345 Louisiana St, Lawrence, KS 66044"
Dyche Hall,38.95855,-95.243752,Building,,"Museum of Natural History and Biodiversity Research Center
One of KU’s signature buildings, Dyche Hall was built as the Museum of Natural History in 1901-02 to a design by Kansas City architects Walter C. Root and George W. Siemens; they used the Venetian Romanesque style characteristic of southern European churches of 1050-1200. The limestone building, distinguished by a steep-roofed tower, arched doorway and elaborate stone ornamentations of natural and fantastic animals and plants, was listed on the National Register of Historic Places in 1974.

After his death the building was named for Lewis Lindsay Dyche (1857-1915). Its first purpose was to house the famous Panorama of North America Mammals he created for the Kansas Pavilion at the 1893 World’s Columbian Exposition in Chicago. Dyche helped design the main-floor diorama that still displays part of the collection he began while a protégé of natural history professor Francis H. Snow in the 1880s. Dyche began teaching while a KU undergraduate, earned two bachelor’s and two master’s degrees and was professor and chair of zoology and taxidermy and curator of birds and mammals. He continued collecting on expeditions throughout North America and in Greenland and the Arctic.

Included in the 1893 exposition panorama was the stuffed and mounted body of the horse Comanche, the only survivor of the U.S. Cavalry force at the Battle of the Little Bighorn in June 1876. After the horse’s death at Fort Riley in 1891, Dyche was asked to preserve it; it has remained in the museum and in 2005 was moved to a new fourth-floor climate-controlled exhibit space.

The building was closed from November 1932 to June 1941 for substantial restoration and was enlarged in 1963 and 1996.

It houses the Biodiversity Institute and the Natural History Museum administrative offices and divisions including botany, entomology, herpetology, ichthyology, informatics, vertebrate paleontology, mammalogy and ornithology. The entomological collections from Snow Hall have been moved here.","1345 Jayhawk Blvd, Lawrence, KS 66045"
Eaton Hall,38.957572,-95.252771,Building,,"This building in the engineering complex was dedicated Oct. 17, 2003, and named for major donor Robert J. Eaton, a 1963 alumnus and retired chair of DaimlerChrysler AG. Eaton donated $5 million for the project, about one-third of the cost of the 80,000-square-foot hall, which was funded entirely through private donations. It was designed by Gould Evans Associates of Lawrence and is connected by an enclosed walkway to Learned Hall.

It houses the dean’s office suite; the Department of Electrical Engineering and Computer Science; the Engineering Career Services Center; classrooms; instructional and computer labs; an atrium and computing commons; faculty and graduate teaching assistant offices; and the multimedia Spahr Engineering Classroom, which seats 250.","1520 W. 15th St, Lawrence, KS 66045"
Ellsworth Residence Hall,38.952844,-95.258927,Building,,"Built in 1963 as a men’s hall, it is named for Fred Ellsworth, a 1922 journalism alumnus who from 1924 to 1963 was secretary of the Alumni Association and editor of its Graduate Magazine. Remodeled in 2002-03, it houses about 580 men and women in two-person rooms, suites and studios.

580 men and women?","1734 Engel Road, Lawrence, KS 66045"
Engineering Structural Testing & Student Project Facility STSP,38.945646,-95.264133,Building,,"This building incorporates a high bay facility for research, testing and developing large structural systems such as concrete piers or steel girder connections for bridges; and a student projects fabrication center for design competition teams and students in capstone design courses. Faculty and students in several School of Engineering departments use the 24,700-square-foot building, completed in summer 2014.

It is part of an $80 million, two-building expansion effort in the School of Engineering, known as the Learned Engineering Expansion, Phase 2. The project received initial funding of $35 million in bonding authority through the University Engineering Initiative Act of 2011. Donor gifts through KU Endowment and funds from the KU Center for Research, industry partners and other university funds support","2037 Becker Drive, Lawrence, KS 66047"
Facilities Administration Building,38.956303,-95.246067,Building,,"Main building
1503 Sunflower Road 66045
2 floors, basement, sub-basement

Power plant 
1505 Sunflower Road
2 floors, basement

Chiller building
1515 Facilities Operations Drive
2 floors

The limestone main building was designed by Superintendent E.F. Crocker and constructed by the Buildings & Grounds Department in 1906. A second story and entry were added in 1926. The complex south of Stauffer-Flint Hall includes the 1922 power plant, designed by State Architect Ray Gamble and John Shea of B&G, and class whistle; offices and shops for the plumbing, electrical, engineering, major systems and maintenance departments; and the main storeroom.

Class whistle
Since 1912 a steam whistle at the power plant, originally used for student curfew, has signaled the end of classes. The first one was replaced in the early 1940s; that one “blew its stack” in January 2003. The new whistle was the gift of Neil Lintecum, a 1990 medical school graduate, in memory of his father, Dean, a 1955 architecture alumnus.","1503 Sunflower Road, Lawrence, KS 66045"
Foley Hall,38.948189,-95.263609,Building,,"This redbrick building was originally the Frank C. Foley Geohydrology Center, an annex of the Kansas Geological Survey named for its director 1954-70. It opened in spring 1980, and in 1989 the survey moved its office into Parker Hall. The Kansas Biological Survey was housed here from 1989 to 2003; Foley now houses Monarch Watch, which monitors the migrations and habitats of monarch butterflies. Monarch Watch is directed by Orley “Chip” Taylor, professor of ecology and evolutionary biology.","2021 Constant Ave, Lawrence, KS 66047"
